발생원인_기타,피해면적_합계,화재시간,latitude ,longitude,기온,풍속,습도,강수량,임목존재코드,임종코드,임상코드,수종그룹코드,ta,ws,hm,pa,pv,td,ts,dc10Tca,dc10LmcsCa,시도,시군구,읍면동리,피해금액
861,0.1310282624064041,4.0,34.431305555555554,127.04175555555555,26.8,15.1,79.0,0.6,1.0,2.0,1.0,15.0,33.7,1.1,51.0,999.0,26.6,22.1,42.3,5.0,5.0,전남,완도,금당,11166463
573,0.009950330853168,1.0,37.18833333333333,129.29174166666667,25.5,15.5,80.0,0.03,1.0,2.0,2.0,30.0,28.7,3.4,57.0,925.4,22.4,19.3,45.2,0.0,0.0,강원,삼척,원덕,4082193
885,0.009950330853168,0.0,37.71243888888889,126.77584722222224,29.0,10.4,75.0,9.1,1.0,2.0,3.0,77.0,31.4,0.4,78.0,992.0,35.6,27.0,41.3,6.0,4.0,경기,파주,탄현,4082193
270,0.262364264467491,4.0,36.51109722222222,126.94781388888887,23.0,14.8,63.0,0.0,1.0,1.0,1.0,14.0,13.747929869032532,2.8929839391377854,36.94338825517533,1000.5656738487536,6.483903675538657,-2.145099281791297,20.881297548605243,2.8704119850187264,1.2687422166874225,충남,공주,신풍,18850933
885,0.009950330853168,2.0,37.71243888888889,126.77584722222224,26.5,14.4,46.0,0.0,1.0,2.0,3.0,77.0,22.1,0.2,74.0,1001.1,19.6,17.2,25.5,0.0,0.0,경기,파주,야동,4082193
793,0.2851789422336623,4.0,35.38551111111111,127.62596388888888,21.0,6.8,81.0,0.18,1.0,2.0,2.0,34.0,31.5,1.8,43.0,994.7,19.7,17.3,51.3,6.0,0.0,전북,남원,산내,20185819
715,0.4054651081081644,2.0,36.17165,126.98208055555556,23.4,11.9,69.0,0.0,1.0,2.0,3.0,77.0,21.2,0.2,66.0,996.4,16.5,14.5,21.0,9.0,0.0,충남,부여,새도,31223763
858,0.0392207131532812,1.0,37.30103055555556,128.71113055555554,23.1,6.5,58.0,0.02,1.0,2.0,2.0,32.0,27.4,3.7,42.0,920.7,15.3,13.3,45.4,9.0,0.0,강원,정선,남면,5794803
715,0.5877866649021191,17.0,37.21092777777778,129.05818055555557,23.9,7.2,49.0,0.0,1.0,2.0,1.0,11.0,18.4,1.3,74.0,924.1,15.6,13.6,17.8,0.0,0.0,강원,삼척,도계,41891397
715,0.009950330853168,3.0,36.050241666666665,126.789,22.6,19.1,66.0,0.0,1.0,1.0,1.0,14.0,33.7,2.0,25.0,998.2,13.0,10.9,43.3,0.0,0.0,충남,서천,화양,4082193
573,1.5602476682433286,45.0,35.17491388888889,126.86039722222222,22.4,16.6,61.0,0.0,2.0,0.0,0.0,82.0,13.747929869032532,2.8929839391377854,36.94338825517533,1000.5656738487536,6.483903675538657,-2.145099281791297,20.881297548605243,2.8704119850187264,1.2687422166874225,광주,북,생용,114790091
715,0.1570037488096647,3.0,37.64297222222222,128.5513388888889,23.9,13.0,47.0,0.0,1.0,2.0,2.0,34.0,29.6,3.2,33.0,920.8,13.7,11.6,51.2,0.0,0.0,강원,평창,진부,12686289
715,0.0582689081239757,3.0,37.16475277777778,127.19183055555555,22.7,17.3,59.0,0.0,1.0,1.0,1.0,14.0,30.1,1.4,50.0,993.3,21.3,18.5,58.2,0.0,0.0,경기,용인,처인,6909313
715,0.009950330853168,1.0,36.06700833333333,128.7584611111111,22.6,10.8,57.0,0.0,1.0,2.0,2.0,30.0,27.0,1.6,42.0,1002.2,14.9,12.9,38.4,9.0,0.0,경북,영천,신녕,4082193
715,0.0295588022415443,4.0,36.84705,126.42763611111113,20.3,17.6,71.0,0.0,1.0,2.0,1.0,11.0,19.8,0.4,69.0,1002.9,15.9,13.9,19.1,4.0,0.0,충남,서산,지곡,5229485
1005,0.1823215567939546,4.0,36.6724,126.57026666666668,21.3,13.0,79.0,1.81,1.0,2.0,2.0,33.0,26.5,1.3,66.0,995.1,22.8,19.6,38.6,8.0,8.0,충남,서산,해미,14167634
946,0.0295588022415443,3.0,36.504783333333336,126.74034444444445,24.2,16.9,56.0,0.0,1.0,2.0,1.0,11.0,30.7,1.9,36.0,997.8,15.9,13.9,52.7,7.0,0.0,충남,홍성,장곡,5229485
473,1.5789787049493915,24.0,37.07502222222222,129.0323638888889,23.0,7.9,54.0,0.0,1.0,2.0,2.0,34.0,27.8,1.1,39.0,920.9,14.5,12.5,44.0,6.0,1.0,강원,태백,동점,115886044
276,0.009950330853168,3.0,36.36805833333333,126.59923333333332,22.2,14.0,60.0,0.0,1.0,2.0,3.0,77.0,28.4,1.3,46.0,997.7,17.7,15.6,57.8,1.0,0.0,충남,보령,주교,4082193
715,0.009950330853168,2.0,37.66587222222222,127.52116388888888,20.8,6.8,58.0,0.0,1.0,1.0,1.0,12.0,22.0,2.3,51.0,926.4,13.4,11.3,31.8,7.0,3.0,경기,가평,설악,4082193
715,0.0198026272961797,1.0,37.598375,127.62808055555556,20.8,6.8,58.0,0.0,1.0,2.0,2.0,32.0,26.7,1.3,44.0,1006.8,15.4,13.4,44.5,8.0,0.0,경기,양평,단월,4658651
